time;delayMs;Util;dropProb;Dq;reward
99.68;36.9666862487793;0.9828861355781555;0.009999999776482582;1225170000.0;1.0
99.7;37.56748580932617;0.9828889966011047;0.0;1225420000.0;1.0
99.72;37.79068374633789;0.982891857624054;0.0;1225670000.0;1.0
99.74;38.013885498046875;0.9828943014144897;0.0;1225910000.0;1.0
99.76;38.94508361816406;0.982897162437439;0.0;1226160000.0;1.0
99.78;39.45148468017578;0.9829000234603882;0.0;1226410000.0;1.0
99.8;39.9154052734375;0.982902467250824;0.0;1226660000.0;1.0
99.82;40.04420471191406;0.9829053282737732;0.0;1226910000.0;1.0
99.84;40.12580490112305;0.9829081892967224;0.0;1227160000.0;1.0
99.86;40.9578857421875;0.9829110503196716;0.0;1227410000.0;1.0
99.88;42.03068542480469;0.9829134345054626;0.0;1227660000.0;1.0
99.9;42.961883544921875;0.9829163551330566;0.009999999776482582;1227910000.0;1.0
99.92;43.279483795166016;0.9829192161560059;0.019999999552965164;1228160000.0;1.0
99.94;44.07380294799805;0.9829220771789551;0.0;1228410000.0;1.0
99.96;45.37788391113281;0.9829244613647461;0.0;1228660000.0;1.0
99.98;45.605804443359375;0.9829273223876953;0.009999999776482582;1228900000.0;1.0
100.0;46.06500244140625;0.9829301834106445;0.019999999552965164;1229150000.0;1.0
100.02;46.71300506591797;0.9829325675964355;0.029999999329447746;1229400000.0;1.0
100.04;47.167484283447266;0.9829354286193848;0.12999999523162842;1229650000.0;1.0
100.06;47.112205505371094;0.982938289642334;0.12999999523162842;1229900000.0;1.0
100.08;47.05220413208008;0.9829411506652832;0.12999999523162842;1230150000.0;1.0
100.1;47.17628479003906;0.9829435348510742;0.14000000059604645;1230400000.0;1.0
100.12;46.601802825927734;0.9829463958740234;0.14000000059604645;1230650000.0;1.0
100.14;44.74348449707031;0.9829492568969727;0.15000000596046448;1230900000.0;1.0
100.16;42.224365234375;0.9829521179199219;0.14000000059604645;1231150000.0;1.0
100.18;40.94188690185547;0.9829545021057129;0.12999999523162842;1231400000.0;1.0
100.2;40.131404876708984;0.9829573631286621;0.14000000059604645;1231650000.0;1.0
100.22;40.44428634643555;0.9829601645469666;0.15000000596046448;1231890000.0;1.0
100.24;40.95068359375;0.9829630255699158;0.14000000059604645;1232140000.0;1.0
100.26;41.173885345458984;0.9829654097557068;0.15000000596046448;1232390000.0;1.0
100.28;41.30268478393555;0.982968270778656;0.05000000447034836;1232640000.0;1.0
100.3;42.474605560302734;0.9829711318016052;0.15000000596046448;1232890000.0;1.0
100.32;43.26420211791992;0.9829735159873962;0.25;1233140000.0;1.0
100.34;44.053802490234375;0.9829763174057007;0.25;1233390000.0;1.0
100.36;44.22980499267578;0.9829791784286499;0.25999999046325684;1233640000.0;1.0
100.38;45.014686584472656;0.9829820394515991;0.1599999964237213;1233890000.0;1.0
100.4;45.337005615234375;0.9829843640327454;0.059999994933605194;1234140000.0;1.0
100.42;45.413883209228516;0.9829872250556946;0.059999994933605194;1234390000.0;1.0
100.44;45.30668640136719;0.9829900860786438;0.04999999329447746;1234640000.0;1.0
100.46;45.25140380859375;0.9829928874969482;0.04999999329447746;1234880000.0;1.0
100.48;45.8994026184082;0.9829952716827393;0.03999999165534973;1235130000.0;1.0
100.5;46.212284088134766;0.9829980134963989;0.0;1235380000.0;1.0
100.52;46.06260299682617;0.9830009341239929;0.009999999776482582;1235630000.0;1.0
100.54;46.474605560302734;0.9830033183097839;0.0;1235880000.0;1.0
100.56;45.423404693603516;0.9830060601234436;0.0;1236130000.0;1.0
100.58;43.75532531738281;0.9830089211463928;0.0;1236380000.0;1.0
100.6;44.78092575073242;0.9830117225646973;0.0;1236630000.0;1.0
100.62;43.43540573120117;0.9830141067504883;0.0;1236880000.0;1.0
100.64;38.298927307128906;0.9830171465873718;0.009999999776482582;1237130000.0;1.0
100.66;39.508609771728516;0.9830195307731628;0.019999999552965164;1237380000.0;1.0
100.68;36.67340850830078;0.9830223321914673;0.11999999731779099;1237630000.0;1.0
100.7;32.18812942504883;0.9830251336097717;0.019999997690320015;1237870000.0;1.0
100.72;31.944049835205078;0.9830279350280762;0.029999997466802597;1238120000.0;1.0
100.74;30.15597152709961;0.9830303192138672;0.03999999910593033;1238370000.0;1.0
100.76;28.526611328125;0.9830331206321716;0.05000000074505806;1238620000.0;1.0
100.78;29.07549285888672;0.9830359816551208;0.0;1238870000.0;1.0
100.8;28.875572204589844;0.9830387234687805;0.009999999776482582;1239120000.0;1.0
100.82;29.47637367248535;0.983041524887085;0.10999999940395355;1239370000.0;1.0
100.84;28.708372116088867;0.9830433130264282;0.11999999731779099;1239620000.0;1.0
100.86;22.61165428161621;0.9830459356307983;0.12999999523162842;1239870000.0;1.0
100.88;22.35661506652832;0.9830484986305237;0.22999998927116394;1240120000.0;1.0
100.9;15.628779411315918;0.983052134513855;0.32999998331069946;1240370000.0;1.0
100.92;11.8870210647583;0.9830545783042908;0.3399999737739563;1240610000.0;1.0
100.94;10.0224609375;0.9830576181411743;0.34999996423721313;1240860000.0;1.0
100.96;6.5257439613342285;0.9830602407455444;0.35999995470046997;1241110000.0;1.0
100.98;4.366464138031006;0.9830626249313354;0.35999995470046997;1241360000.0;1.0
101.0;2.65462589263916;0.9830654859542847;0.35999995470046997;1241610000.0;1.0
101.02;1.9272680282592773;0.9830683469772339;0.3699999451637268;1241860000.0;1.0
101.04;1.29590904712677;0.9830707311630249;0.37999993562698364;1242110000.0;1.0
101.06;0.30470898747444153;0.9830732941627502;0.2799999415874481;1242360000.0;1.0
101.08;8.0726957321167;0.983074426651001;0.1799999475479126;1242610000.0;1.0
101.1;26.075111389160156;0.9830768704414368;0.18999995291233063;1242850000.0;1.0
101.12;44.07280731201172;0.983079731464386;0.1799999475479126;1243100000.0;1.0
101.14;45.32638931274414;0.9830842614173889;0.07999994605779648;1243360000.0;1.0
101.16;45.085060119628906;0.9830865859985352;0.06999994814395905;1243600000.0;1.0
101.18;45.008079528808594;0.9830893874168396;0.059999946504831314;1243850000.0;1.0
101.2;45.11863327026367;0.9830921292304993;0.15999995172023773;1244100000.0;1.0
101.22;43.12744903564453;0.9830949306488037;0.25999996066093445;1244350000.0;1.0
101.24;22.25225067138672;0.983096718788147;0.15999996662139893;1244600000.0;1.0
101.26;23.612794876098633;0.983100175857544;0.25999996066093445;1244850000.0;1.0
101.28;28.075199127197266;0.9831021428108215;0.15999996662139893;1245100000.0;1.0
101.3;35.194725036621094;0.983104407787323;0.25999996066093445;1245350000.0;1.0
101.32;38.14554214477539;0.9831079840660095;0.24999995529651642;1245600000.0;1.0
101.34;35.94845962524414;0.9831105470657349;0.34999996423721313;1245850000.0;1.0
101.36;30.076457977294922;0.9831130504608154;0.35999995470046997;1246100000.0;1.0
101.38;29.007421493530273;0.9831158518791199;0.35999995470046997;1246350000.0;1.0
101.4;26.772869110107422;0.9831186532974243;0.3699999451637268;1246590000.0;1.0
101.42;26.90711212158203;0.9831215143203735;0.35999995470046997;1246840000.0;1.0
101.44;27.36159324645996;0.9831238389015198;0.3699999451637268;1247090000.0;1.0
101.46;27.675113677978516;0.9831266403198242;0.2699999511241913;1247340000.0;1.0
101.48;28.79511260986328;0.9831293821334839;0.2799999415874481;1247590000.0;1.0
101.5;29.627193450927734;0.9831321835517883;0.2699999511241913;1247840000.0;1.0
101.52;29.855112075805664;0.9831345081329346;0.2699999511241913;1248090000.0;1.0
101.54;30.55031394958496;0.9831372499465942;0.16999995708465576;1248340000.0;1.0
101.56;31.33991241455078;0.9831400513648987;0.06999995559453964;1248590000.0;1.0
101.58;31.704713821411133;0.9831428527832031;0.0;1248840000.0;1.0
101.6;31.880712509155273;0.9831451177597046;0.0;1249090000.0;1.0
101.62;33.18479537963867;0.983147919178009;0.009999999776482582;1249340000.0;1.0
